time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-17 00:00:00+00:00,0,0,1,1
2021-04-28 00:00:00+00:00,0,0,3,1
2021-05-13 00:00:00+00:00,1,1,0,0
2021-06-07 00:00:00+00:00,0,0,2,1
2021-07-28 00:00:00+00:00,1,1,0,0
2021-08-02 00:00:00+00:00,1,1,2,1
2021-08-03 00:00:00+00:00,0,0,3,1
2021-08-04 00:00:00+00:00,0,0,1,1
2021-08-10 00:00:00+00:00,1,1,0,0
2021-08-19 00:00:00+00:00,0,0,2,1
2021-08-29 00:00:00+00:00,1,1,2,1
2021-09-15 00:00:00+00:00,1,1,0,0
2021-09-17 00:00:00+00:00,1,1,0,0
2021-10-14 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,3,1,0,0
2021-11-04 00:00:00+00:00,0,0,2,2
2021-11-26 00:00:00+00:00,1,1,0,0
2021-11-28 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-01 00:00:00+00:00,1,1,0,0
2022-02-02 00:00:00+00:00,0,0,1,1
2022-02-14 00:00:00+00:00,1,1,0,0
2022-03-07 00:00:00+00:00,1,1,0,0
2022-03-18 00:00:00+00:00,1,1,0,0
2022-03-22 00:00:00+00:00,2,1,0,0
2022-03-25 00:00:00+00:00,2,1,0,0
2022-03-31 00:00:00+00:00,2,1,0,0
2022-04-07 00:00:00+00:00,1,1,0,0
2022-04-12 00:00:00+00:00,0,0,3,1
2022-04-30 00:00:00+00:00,0,0,3,1
2022-05-10 00:00:00+00:00,1,1,1,1
2022-05-25 00:00:00+00:00,2,1,0,0
2022-05-30 00:00:00+00:00,1,1,0,0
