time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-05-18 00:00:00+00:00,1,1,0,0
2021-07-08 00:00:00+00:00,1,1,0,0
2021-07-17 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,2,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-11 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-03-16 00:00:00+00:00,1,1,0,0
2022-03-17 00:00:00+00:00,1,1,0,0
2022-05-18 00:00:00+00:00,2,1,0,0
2022-06-20 00:00:00+00:00,2,1,0,0
2022-07-15 00:00:00+00:00,1,1,0,0
2022-08-25 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,1,1,0,0
2022-11-08 00:00:00+00:00,1,1,0,0
2022-12-08 00:00:00+00:00,1,1,0,0
