time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-18 00:00:00+00:00,1,1,0,0
2021-05-11 00:00:00+00:00,1,1,0,0
2021-07-21 00:00:00+00:00,1,1,0,0
2021-08-19 00:00:00+00:00,1,1,0,0
2021-09-28 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,5,1,0,0
2021-11-08 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-03-23 00:00:00+00:00,1,1,0,0
2022-03-24 00:00:00+00:00,2,1,0,0
2022-04-01 00:00:00+00:00,2,1,0,0
2022-04-27 00:00:00+00:00,2,1,0,0
2022-04-28 00:00:00+00:00,2,1,0,0
2022-04-30 00:00:00+00:00,2,1,0,0
2022-05-27 00:00:00+00:00,1,1,0,0
