time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-18 00:00:00+00:00,0,0,1,1
2021-04-23 00:00:00+00:00,0,0,1,1
2021-04-25 00:00:00+00:00,0,0,1,1
2021-04-29 00:00:00+00:00,0,0,4,1
2021-04-30 00:00:00+00:00,0,0,1,1
2021-05-07 00:00:00+00:00,0,0,5,1
2021-05-11 00:00:00+00:00,0,0,1,1
2021-05-17 00:00:00+00:00,0,0,4,1
2021-05-18 00:00:00+00:00,0,0,1,1
2021-05-20 00:00:00+00:00,0,0,1,1
2021-05-21 00:00:00+00:00,1,1,0,0
2021-05-28 00:00:00+00:00,0,0,2,1
2021-06-10 00:00:00+00:00,0,0,1,1
2021-06-11 00:00:00+00:00,0,0,1,1
2021-06-17 00:00:00+00:00,3,3,7,1
2021-06-18 00:00:00+00:00,1,1,15,1
2021-07-08 00:00:00+00:00,0,0,1,1
2021-07-20 00:00:00+00:00,1,1,0,0
