time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-07 00:00:00+00:00,0,0,4,1
2021-04-09 00:00:00+00:00,1,1,0,0
2021-04-11 00:00:00+00:00,0,0,3,1
2021-04-20 00:00:00+00:00,1,1,0,0
2021-04-25 00:00:00+00:00,0,0,2,1
2021-04-29 00:00:00+00:00,0,0,1,1
2021-04-30 00:00:00+00:00,0,0,5,1
2021-05-11 00:00:00+00:00,1,1,0,0
2021-05-19 00:00:00+00:00,0,0,2,1
2021-05-22 00:00:00+00:00,0,0,8,1
2021-06-04 00:00:00+00:00,15,9,0,0
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,1,1,0,0
2021-06-23 00:00:00+00:00,1,1,0,0
