url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-finances-maven/actions,17,1
/ChameleonTartu/amazon-mws-finances-maven/actions/runs/1682794722,12,1
/ChameleonTartu/amazon-mws-finances-maven,8,2
/ChameleonTartu/amazon-mws-finances-maven/pulls,8,1
/ChameleonTartu/amazon-mws-finances-maven/pull/5,6,2
/ChameleonTartu/amazon-mws-finances-maven/actions/workflows/linux.yml,5,1
/ChameleonTartu/amazon-mws-finances-maven/actions/workflows/deploy.yml,4,1
/ChameleonTartu/amazon-mws-finances-maven/runs/4776149474,4,1
/ChameleonTartu/amazon-mws-finances-maven/actions/runs/1682472422,3,1
/ChameleonTartu/amazon-mws-finances-maven/actions/workflows/macos.yml,3,1
