time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-09 00:00:00+00:00,0,0,7,1
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-18 00:00:00+00:00,0,0,7,1
2021-04-20 00:00:00+00:00,1,1,0,0
2021-05-28 00:00:00+00:00,1,1,0,0
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,1,1,0,0
2021-07-14 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-10 00:00:00+00:00,1,1,0,0
2021-09-17 00:00:00+00:00,1,1,0,0
2021-09-27 00:00:00+00:00,0,0,1,1
2021-10-08 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,4,1,0,0
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-11 00:00:00+00:00,84,8,90,2
2022-01-12 00:00:00+00:00,1,1,0,0
2022-01-14 00:00:00+00:00,2,1,0,0
2022-01-16 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-03 00:00:00+00:00,1,1,0,0
2022-02-09 00:00:00+00:00,1,1,0,0
2022-02-11 00:00:00+00:00,1,1,0,0
2022-02-16 00:00:00+00:00,0,0,9,2
2022-02-17 00:00:00+00:00,1,1,0,0
2022-03-01 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-04-01 00:00:00+00:00,2,1,0,0
2022-04-11 00:00:00+00:00,6,2,0,0
2022-04-15 00:00:00+00:00,1,1,0,0
2022-05-09 00:00:00+00:00,0,0,11,1
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,1,1,0,0
