time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-04 00:00:00+00:00,1,1,0,0
2021-04-10 00:00:00+00:00,0,0,1,1
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-29 00:00:00+00:00,0,0,2,1
2021-05-14 00:00:00+00:00,1,1,0,0
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,2,2,0,0
2021-06-30 00:00:00+00:00,0,0,1,1
2021-07-08 00:00:00+00:00,0,0,1,1
2021-07-16 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-10 00:00:00+00:00,1,1,0,0
2021-10-03 00:00:00+00:00,1,1,0,0
2021-10-13 00:00:00+00:00,0,0,2,2
2021-10-20 00:00:00+00:00,4,1,0,0
2021-10-22 00:00:00+00:00,8,2,0,0
2021-10-28 00:00:00+00:00,2,1,0,0
2021-11-27 00:00:00+00:00,0,0,1,1
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2021-12-27 00:00:00+00:00,0,0,6,1
2022-01-07 00:00:00+00:00,0,0,2,1
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-13 00:00:00+00:00,0,0,5,1
2022-01-24 00:00:00+00:00,1,1,0,0
2022-01-28 00:00:00+00:00,1,1,0,0
2022-02-19 00:00:00+00:00,1,1,0,0
2022-02-25 00:00:00+00:00,0,0,3,1
2022-02-26 00:00:00+00:00,1,1,0,0
2022-03-01 00:00:00+00:00,0,0,1,1
2022-03-07 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,3,3,0,0
2022-04-22 00:00:00+00:00,2,1,0,0
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-25 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,1,1,0,0
