time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-21 00:00:00+00:00,0,0,12,1
2021-04-29 00:00:00+00:00,0,0,1,1
2021-05-26 00:00:00+00:00,1,1,0,0
2021-06-04 00:00:00+00:00,14,5,0,0
2021-06-10 00:00:00+00:00,0,0,1,1
2021-06-11 00:00:00+00:00,0,0,1,1
2021-06-14 00:00:00+00:00,0,0,1,1
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,2,2,0,0
2021-07-17 00:00:00+00:00,1,1,0,0
2021-07-23 00:00:00+00:00,1,1,0,0
2021-07-27 00:00:00+00:00,0,0,3,1
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-08 00:00:00+00:00,0,0,1,1
2021-09-10 00:00:00+00:00,1,1,0,0
2021-09-24 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,4,1,0,0
2021-11-04 00:00:00+00:00,0,0,5,1
2021-11-21 00:00:00+00:00,1,1,0,0
2021-11-25 00:00:00+00:00,1,1,0,0
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-14 00:00:00+00:00,2,1,0,0
2022-01-21 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-01-25 00:00:00+00:00,0,0,1,1
2022-02-09 00:00:00+00:00,1,1,0,0
2022-02-11 00:00:00+00:00,1,1,0,0
2022-02-19 00:00:00+00:00,1,1,0,0
2022-02-22 00:00:00+00:00,0,0,8,1
2022-02-24 00:00:00+00:00,0,0,1,1
2022-02-26 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-03-24 00:00:00+00:00,2,1,0,0
2022-04-04 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,3,2,0,0
2022-05-21 00:00:00+00:00,1,1,0,0
2022-06-22 00:00:00+00:00,1,1,0,0
2022-07-08 00:00:00+00:00,1,1,0,0
2022-08-08 00:00:00+00:00,1,1,0,0
2022-08-10 00:00:00+00:00,1,1,0,0
2022-09-13 00:00:00+00:00,2,1,0,0
2022-09-18 00:00:00+00:00,1,1,0,0
