time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-14 00:00:00+00:00,0,0,1,1
2021-04-20 00:00:00+00:00,1,1,0,0
2021-04-23 00:00:00+00:00,0,0,1,1
2021-04-29 00:00:00+00:00,0,0,36,2
2021-04-30 00:00:00+00:00,0,0,37,1
2021-05-04 00:00:00+00:00,0,0,4,1
2021-05-06 00:00:00+00:00,0,0,4,1
2021-05-07 00:00:00+00:00,0,0,12,1
2021-05-08 00:00:00+00:00,0,0,7,1
2021-05-09 00:00:00+00:00,1,1,0,0
2021-06-04 00:00:00+00:00,0,0,1,1
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,2,2,0,0
2021-07-18 00:00:00+00:00,2,2,0,0
2021-07-24 00:00:00+00:00,1,1,0,0
2021-08-12 00:00:00+00:00,0,0,1,1
2021-08-20 00:00:00+00:00,0,0,2,1
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-10 00:00:00+00:00,1,1,0,0
2021-09-17 00:00:00+00:00,1,1,0,0
2021-10-11 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,5,1,0,0
2021-10-25 00:00:00+00:00,0,0,10,1
2021-11-15 00:00:00+00:00,0,0,1,1
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-13 00:00:00+00:00,2,1,0,0
2022-01-14 00:00:00+00:00,2,1,0,0
2022-01-22 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-09 00:00:00+00:00,1,1,0,0
2022-02-11 00:00:00+00:00,1,1,0,0
2022-02-16 00:00:00+00:00,0,0,2,1
2022-02-17 00:00:00+00:00,1,1,0,0
2022-02-28 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,1,1
2022-03-20 00:00:00+00:00,0,0,3,1
2022-03-26 00:00:00+00:00,2,1,0,0
2022-04-11 00:00:00+00:00,3,2,0,0
2022-04-21 00:00:00+00:00,0,0,4,1
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,1,1,0,0
