time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-03-29 00:00:00+00:00,1,1,0,0
2021-04-09 00:00:00+00:00,0,0,1,1
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-20 00:00:00+00:00,1,1,0,0
2021-04-29 00:00:00+00:00,0,0,2,1
2021-05-11 00:00:00+00:00,0,0,1,1
2021-06-03 00:00:00+00:00,1,1,0,0
2021-06-04 00:00:00+00:00,14,7,0,0
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,1,1,0,0
2021-07-18 00:00:00+00:00,0,0,1,1
2021-07-19 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,2,1,0,0
2021-09-10 00:00:00+00:00,1,1,0,0
2021-09-24 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,5,1,0,0
2021-10-25 00:00:00+00:00,0,0,4,1
2021-11-21 00:00:00+00:00,1,1,0,0
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2021-12-24 00:00:00+00:00,1,1,0,0
2022-01-07 00:00:00+00:00,2,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-17 00:00:00+00:00,1,1,0,0
2022-02-21 00:00:00+00:00,1,1,0,0
2022-02-26 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-03-23 00:00:00+00:00,2,1,0,0
2022-03-26 00:00:00+00:00,2,1,0,0
2022-04-03 00:00:00+00:00,1,1,0,0
2022-04-04 00:00:00+00:00,1,1,0,0
