time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,2,1
2021-04-20 00:00:00+00:00,1,1,0,0
2021-04-29 00:00:00+00:00,0,0,1,1
2021-05-30 00:00:00+00:00,1,1,0,0
2021-05-31 00:00:00+00:00,1,1,0,0
2021-06-04 00:00:00+00:00,14,6,0,0
2021-06-05 00:00:00+00:00,1,1,0,0
2021-06-17 00:00:00+00:00,0,0,17,1
2021-06-18 00:00:00+00:00,2,2,18,1
2021-06-20 00:00:00+00:00,1,1,0,0
2021-07-16 00:00:00+00:00,1,1,0,0
2021-07-17 00:00:00+00:00,1,1,0,0
2021-07-18 00:00:00+00:00,1,1,0,0
2021-07-26 00:00:00+00:00,0,0,4,1
2021-08-15 00:00:00+00:00,1,1,0,0
2021-08-22 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-10 00:00:00+00:00,1,1,0,0
2021-09-20 00:00:00+00:00,1,1,0,0
2021-09-23 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,10,2,9,1
2021-11-17 00:00:00+00:00,1,1,0,0
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2022-01-07 00:00:00+00:00,2,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-18 00:00:00+00:00,0,0,5,1
2022-01-24 00:00:00+00:00,2,1,0,0
2022-02-08 00:00:00+00:00,1,1,0,0
2022-02-09 00:00:00+00:00,2,2,0,0
2022-02-11 00:00:00+00:00,2,2,0,0
2022-02-17 00:00:00+00:00,1,1,0,0
2022-02-25 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-03-22 00:00:00+00:00,2,1,0,0
2022-03-24 00:00:00+00:00,2,1,0,0
2022-03-25 00:00:00+00:00,2,1,0,0
2022-03-31 00:00:00+00:00,2,1,0,0
2022-04-03 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,3,2,0,0
2022-04-21 00:00:00+00:00,2,1,0,0
2022-04-22 00:00:00+00:00,2,1,0,0
2022-04-23 00:00:00+00:00,2,1,0,0
2022-04-24 00:00:00+00:00,2,1,0,0
2022-05-21 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,1,1,0,0
