time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-13 00:00:00+00:00,0,0,1,1
2021-04-17 00:00:00+00:00,0,0,2,1
2021-04-27 00:00:00+00:00,0,0,1,1
2021-05-25 00:00:00+00:00,1,1,0,0
2021-07-08 00:00:00+00:00,1,1,0,0
2021-08-26 00:00:00+00:00,1,1,0,0
2021-08-30 00:00:00+00:00,1,1,0,0
2021-09-15 00:00:00+00:00,1,1,0,0
2021-10-20 00:00:00+00:00,2,1,0,0
2021-10-22 00:00:00+00:00,5,1,0,0
2021-11-28 00:00:00+00:00,1,1,0,0
2021-11-30 00:00:00+00:00,1,1,0,0
2022-01-14 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-15 00:00:00+00:00,1,1,0,0
2022-03-24 00:00:00+00:00,2,1,0,0
2022-04-03 00:00:00+00:00,1,1,0,0
2022-05-12 00:00:00+00:00,1,1,0,0
2022-05-29 00:00:00+00:00,1,1,0,0
