time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-05-26 00:00:00+00:00,1,1,0,0
2021-07-21 00:00:00+00:00,1,1,0,0
2021-07-26 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-11 00:00:00+00:00,1,1,0,0
2021-09-12 00:00:00+00:00,0,0,31,1
2021-09-13 00:00:00+00:00,0,0,63,1
2021-09-16 00:00:00+00:00,1,1,0,0
2021-11-02 00:00:00+00:00,1,1,1,1
2021-12-23 00:00:00+00:00,1,1,0,0
2022-01-31 00:00:00+00:00,1,1,0,0
2022-02-02 00:00:00+00:00,0,0,1,1
2022-02-22 00:00:00+00:00,0,0,6,1
2022-04-17 00:00:00+00:00,0,0,1,1
2022-05-29 00:00:00+00:00,1,1,0,0
