time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-27 00:00:00+00:00,1,1,0,0
2021-05-18 00:00:00+00:00,1,1,0,0
2021-06-07 00:00:00+00:00,1,1,0,0
2021-07-05 00:00:00+00:00,1,1,0,0
2021-07-09 00:00:00+00:00,1,1,0,0
2021-07-20 00:00:00+00:00,1,1,0,0
2021-07-23 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-08-27 00:00:00+00:00,1,1,0,0
2021-09-03 00:00:00+00:00,2,1,0,0
2021-09-16 00:00:00+00:00,1,1,0,0
2021-10-04 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,8,2,0,0
2021-10-22 00:00:00+00:00,3,1,0,0
2021-10-28 00:00:00+00:00,2,1,0,0
2021-12-23 00:00:00+00:00,1,1,0,0
2022-01-02 00:00:00+00:00,2,1,0,0
2022-01-24 00:00:00+00:00,2,1,0,0
2022-02-01 00:00:00+00:00,1,1,0,0
2022-02-15 00:00:00+00:00,0,0,15,1
2022-03-02 00:00:00+00:00,0,0,4,1
2022-03-14 00:00:00+00:00,1,1,0,0
2022-04-04 00:00:00+00:00,2,2,0,0
2022-05-10 00:00:00+00:00,2,1,0,0
2022-05-18 00:00:00+00:00,2,1,0,0
2022-05-31 00:00:00+00:00,1,1,0,0
