time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-19 00:00:00+00:00,0,0,3,2
2022-12-20 00:00:00+00:00,0,0,5,2
2022-12-22 00:00:00+00:00,0,0,2,1
2022-12-23 00:00:00+00:00,0,0,1,1
2022-12-26 00:00:00+00:00,0,0,2,1
2022-12-29 00:00:00+00:00,1,1,0,0
2023-01-01 00:00:00+00:00,0,0,1,1
2023-01-03 00:00:00+00:00,2,1,7,1
2023-01-05 00:00:00+00:00,0,0,2,1
2023-01-09 00:00:00+00:00,1,1,2,1
2023-01-11 00:00:00+00:00,0,0,4,1
2023-01-12 00:00:00+00:00,0,0,2,1
2023-01-14 00:00:00+00:00,0,0,5,2
2023-01-15 00:00:00+00:00,0,0,6,1
2023-01-19 00:00:00+00:00,0,0,2,1
2023-01-21 00:00:00+00:00,0,0,4,1
2023-01-31 00:00:00+00:00,0,0,2,2
2023-02-01 00:00:00+00:00,0,0,1,1
2023-02-03 00:00:00+00:00,0,0,4,2
2023-02-04 00:00:00+00:00,0,0,1,1
