time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-28 00:00:00+00:00,4,4,22,1
2021-04-29 00:00:00+00:00,4,4,5,2
2021-04-30 00:00:00+00:00,0,0,10,1
2021-05-03 00:00:00+00:00,32,20,36,2
2021-05-04 00:00:00+00:00,15,11,26,1
2021-05-08 00:00:00+00:00,1,1,0,0
2021-05-31 00:00:00+00:00,0,0,1,1
2021-06-02 00:00:00+00:00,0,0,5,1
2021-06-04 00:00:00+00:00,0,0,1,1
2021-06-05 00:00:00+00:00,0,0,23,2
2021-06-07 00:00:00+00:00,0,0,24,1
2021-06-08 00:00:00+00:00,0,0,37,1
2021-06-18 00:00:00+00:00,0,0,1,1
2021-06-20 00:00:00+00:00,0,0,2,2
2021-06-21 00:00:00+00:00,0,0,1,1
2021-06-23 00:00:00+00:00,1,1,9,1
2021-06-24 00:00:00+00:00,0,0,15,1
2021-06-25 00:00:00+00:00,0,0,1,1
2021-06-26 00:00:00+00:00,0,0,9,4
2021-06-27 00:00:00+00:00,0,0,4,2
