time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-06-05 00:00:00+00:00,1,1,0,0
2021-07-21 00:00:00+00:00,1,1,0,0
2021-08-14 00:00:00+00:00,0,0,1,1
2021-08-23 00:00:00+00:00,1,1,0,0
2021-08-26 00:00:00+00:00,0,0,9,1
2021-09-01 00:00:00+00:00,0,0,7,2
2021-09-08 00:00:00+00:00,0,0,1,1
2021-09-13 00:00:00+00:00,0,0,9,1
2021-09-16 00:00:00+00:00,0,0,4,1
2021-09-30 00:00:00+00:00,0,0,4,1
2021-10-09 00:00:00+00:00,0,0,3,1
2021-10-12 00:00:00+00:00,0,0,3,1
2021-10-15 00:00:00+00:00,0,0,6,1
2021-10-16 00:00:00+00:00,0,0,1,1
2021-10-17 00:00:00+00:00,0,0,3,2
2021-10-18 00:00:00+00:00,0,0,6,1
2021-10-21 00:00:00+00:00,4,1,0,0
2021-10-25 00:00:00+00:00,0,0,8,1
2021-11-03 00:00:00+00:00,0,0,2,1
2021-11-10 00:00:00+00:00,0,0,10,1
2021-11-11 00:00:00+00:00,0,0,3,1
2021-11-13 00:00:00+00:00,1,1,5,1
2021-11-24 00:00:00+00:00,0,0,7,2
2021-11-25 00:00:00+00:00,0,0,1,1
2021-12-17 00:00:00+00:00,0,0,17,2
2021-12-27 00:00:00+00:00,0,0,1,1
2021-12-31 00:00:00+00:00,0,0,2,1
2022-01-03 00:00:00+00:00,0,0,3,1
2022-01-04 00:00:00+00:00,0,0,1,1
2022-01-05 00:00:00+00:00,0,0,5,1
2022-01-06 00:00:00+00:00,0,0,13,1
2022-01-07 00:00:00+00:00,0,0,15,2
2022-01-08 00:00:00+00:00,0,0,16,2
2022-01-09 00:00:00+00:00,0,0,7,1
2022-01-11 00:00:00+00:00,0,0,6,2
2022-01-12 00:00:00+00:00,0,0,5,1
2022-01-13 00:00:00+00:00,0,0,6,2
2022-01-15 00:00:00+00:00,0,0,1,1
2022-01-18 00:00:00+00:00,0,0,1,1
2022-01-20 00:00:00+00:00,0,0,1,1
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-02 00:00:00+00:00,2,1,0,0
2022-02-04 00:00:00+00:00,0,0,6,1
2022-03-27 00:00:00+00:00,1,1,0,0
2022-04-02 00:00:00+00:00,1,1,0,0
2022-04-03 00:00:00+00:00,2,1,0,0
2022-05-04 00:00:00+00:00,2,1,0,0
2022-05-24 00:00:00+00:00,1,1,0,0
2022-05-29 00:00:00+00:00,2,1,0,0
