time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-07 00:00:00+00:00,10,8,29,1
2021-04-09 00:00:00+00:00,0,0,5,1
2021-04-10 00:00:00+00:00,1,1,0,0
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-16 00:00:00+00:00,1,1,0,0
2021-04-27 00:00:00+00:00,1,1,0,0
2021-04-28 00:00:00+00:00,0,0,2,1
2021-06-13 00:00:00+00:00,0,0,2,1
2021-07-21 00:00:00+00:00,1,1,0,0
2021-09-16 00:00:00+00:00,1,1,0,0
2021-09-26 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,4,1,0,0
2021-11-01 00:00:00+00:00,1,1,0,0
2021-12-23 00:00:00+00:00,1,1,0,0
2022-01-12 00:00:00+00:00,2,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-04 00:00:00+00:00,1,1,0,0
