time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-20 00:00:00+00:00,0,0,1,1
2022-12-23 00:00:00+00:00,2,2,0,0
2022-12-28 00:00:00+00:00,0,0,1,1
2023-01-02 00:00:00+00:00,0,0,4,1
2023-01-03 00:00:00+00:00,6,3,0,0
2023-01-04 00:00:00+00:00,8,4,0,0
2023-01-15 00:00:00+00:00,0,0,1,1
2023-01-22 00:00:00+00:00,1,1,0,0
2023-02-07 00:00:00+00:00,8,3,0,0
2023-02-08 00:00:00+00:00,2,1,0,0
2023-02-09 00:00:00+00:00,4,2,0,0
2023-02-10 00:00:00+00:00,4,2,0,0
2023-02-11 00:00:00+00:00,14,5,0,0
