time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-07 00:00:00+00:00,0,0,10,1
2021-04-08 00:00:00+00:00,1,1,0,0
2021-04-09 00:00:00+00:00,1,1,13,2
2021-04-11 00:00:00+00:00,1,1,2,2
2021-04-16 00:00:00+00:00,1,1,0,0
2021-04-17 00:00:00+00:00,0,0,2,1
2021-05-05 00:00:00+00:00,0,0,1,1
2021-06-13 00:00:00+00:00,0,0,9,2
2021-07-05 00:00:00+00:00,0,0,1,1
2021-07-14 00:00:00+00:00,0,0,3,1
2021-08-17 00:00:00+00:00,0,0,2,1
2021-08-23 00:00:00+00:00,1,1,0,0
2021-09-01 00:00:00+00:00,1,1,0,0
