time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-19 00:00:00+00:00,0,0,1,1
2021-05-23 00:00:00+00:00,1,1,0,0
2021-05-27 00:00:00+00:00,1,1,0,0
2021-06-03 00:00:00+00:00,1,1,0,0
2021-07-19 00:00:00+00:00,1,1,0,0
2021-08-11 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-03 00:00:00+00:00,1,1,0,0
2021-09-18 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,4,1,0,0
2021-10-30 00:00:00+00:00,1,1,0,0
2021-11-02 00:00:00+00:00,1,1,0,0
2021-11-27 00:00:00+00:00,1,1,0,0
2021-11-29 00:00:00+00:00,1,1,0,0
2022-01-14 00:00:00+00:00,0,0,1,1
2022-01-24 00:00:00+00:00,1,1,0,0
2022-01-28 00:00:00+00:00,1,1,0,0
2022-02-15 00:00:00+00:00,1,1,0,0
2022-03-27 00:00:00+00:00,1,1,0,0
2022-03-31 00:00:00+00:00,0,0,1,1
2022-04-06 00:00:00+00:00,1,1,0,0
2022-04-12 00:00:00+00:00,0,0,1,1
2022-05-04 00:00:00+00:00,2,1,0,0
2022-05-14 00:00:00+00:00,0,0,2,1
2022-05-19 00:00:00+00:00,2,1,0,0
2022-05-25 00:00:00+00:00,0,0,1,1
2022-05-31 00:00:00+00:00,1,1,0,0
