time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-25 00:00:00+00:00,2,2,10,1
2021-04-26 00:00:00+00:00,1,1,10,4
2021-04-27 00:00:00+00:00,1,1,3,1
2021-04-28 00:00:00+00:00,0,0,1,1
2021-05-06 00:00:00+00:00,0,0,3,1
2021-05-12 00:00:00+00:00,1,1,0,0
2021-05-21 00:00:00+00:00,0,0,1,1
2021-06-03 00:00:00+00:00,1,1,0,0
2021-06-16 00:00:00+00:00,0,0,7,1
2021-07-13 00:00:00+00:00,1,1,0,0
2021-07-21 00:00:00+00:00,1,1,0,0
2021-08-26 00:00:00+00:00,1,1,0,0
2021-09-16 00:00:00+00:00,1,1,0,0
2021-09-26 00:00:00+00:00,1,1,0,0
2021-10-11 00:00:00+00:00,0,0,4,1
2021-10-21 00:00:00+00:00,4,1,0,0
2021-10-28 00:00:00+00:00,2,1,0,0
2021-11-14 00:00:00+00:00,0,0,2,2
2021-11-19 00:00:00+00:00,1,1,0,0
2021-11-24 00:00:00+00:00,0,0,1,1
2021-12-05 00:00:00+00:00,0,0,2,1
2021-12-16 00:00:00+00:00,0,0,4,1
2021-12-23 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,1,1,0,0
2022-04-04 00:00:00+00:00,1,1,0,0
2022-04-06 00:00:00+00:00,0,0,1,1
2022-05-04 00:00:00+00:00,2,1,0,0
2022-07-08 00:00:00+00:00,0,0,3,1
2022-07-20 00:00:00+00:00,0,0,5,1
2022-08-01 00:00:00+00:00,1,1,0,0
2022-08-09 00:00:00+00:00,1,1,0,0
2022-08-22 00:00:00+00:00,0,0,4,1
