time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-09 00:00:00+00:00,132,8,44,1
2022-05-10 00:00:00+00:00,1,1,0,0
2022-05-11 00:00:00+00:00,0,0,2,2
2022-05-12 00:00:00+00:00,0,0,21,1
2022-05-14 00:00:00+00:00,0,0,1,1
2022-05-17 00:00:00+00:00,1,1,0,0
2022-05-31 00:00:00+00:00,0,0,6,1
2022-06-21 00:00:00+00:00,1,1,0,0
2022-07-05 00:00:00+00:00,0,0,11,1
2022-07-07 00:00:00+00:00,0,0,1,1
2022-07-08 00:00:00+00:00,0,0,1,1
2022-07-11 00:00:00+00:00,0,0,16,1
2022-07-14 00:00:00+00:00,1,1,0,0
2022-07-25 00:00:00+00:00,1,1,0,0
2022-08-01 00:00:00+00:00,1,1,0,0
2022-08-19 00:00:00+00:00,1,1,0,0
