time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-17 00:00:00+00:00,0,0,4,1
2021-08-18 00:00:00+00:00,0,0,1,1
2021-08-27 00:00:00+00:00,1,1,0,0
2021-09-04 00:00:00+00:00,1,1,0,0
2021-09-06 00:00:00+00:00,1,1,0,0
2021-09-09 00:00:00+00:00,1,1,0,0
2021-09-13 00:00:00+00:00,0,0,1,1
2021-09-15 00:00:00+00:00,1,1,0,0
2021-09-18 00:00:00+00:00,1,1,0,0
2021-09-25 00:00:00+00:00,0,0,1,1
2021-09-28 00:00:00+00:00,0,0,1,1
2021-10-21 00:00:00+00:00,4,1,0,0
2021-11-20 00:00:00+00:00,1,1,0,0
2021-11-28 00:00:00+00:00,1,1,0,0
2021-11-30 00:00:00+00:00,1,1,0,0
2021-12-14 00:00:00+00:00,1,1,1,1
2022-01-12 00:00:00+00:00,0,0,1,1
2022-01-27 00:00:00+00:00,1,1,0,0
2022-02-15 00:00:00+00:00,1,1,0,0
2022-02-28 00:00:00+00:00,0,0,3,1
2022-03-10 00:00:00+00:00,0,0,1,1
2022-03-13 00:00:00+00:00,0,0,3,1
2022-03-16 00:00:00+00:00,2,1,0,0
2022-03-21 00:00:00+00:00,0,0,1,1
2022-04-04 00:00:00+00:00,1,1,0,0
2022-04-06 00:00:00+00:00,1,1,0,0
2022-05-11 00:00:00+00:00,0,0,1,1
2022-05-22 00:00:00+00:00,0,0,1,1
2022-06-01 00:00:00+00:00,2,1,0,0
2022-06-05 00:00:00+00:00,1,1,1,1
2022-06-08 00:00:00+00:00,1,1,0,0
2022-06-09 00:00:00+00:00,1,1,0,0
2022-06-18 00:00:00+00:00,1,1,0,0
2022-06-21 00:00:00+00:00,1,1,0,0
2022-06-23 00:00:00+00:00,1,1,0,0
2022-06-25 00:00:00+00:00,1,1,0,0
2022-06-29 00:00:00+00:00,1,1,0,0
2022-07-04 00:00:00+00:00,1,1,0,0
2022-07-13 00:00:00+00:00,1,1,0,0
2022-07-23 00:00:00+00:00,0,0,1,1
2022-07-24 00:00:00+00:00,0,0,23,1
2022-07-28 00:00:00+00:00,0,0,1,1
2022-08-03 00:00:00+00:00,2,1,0,0
2022-08-04 00:00:00+00:00,2,1,0,0
2022-08-08 00:00:00+00:00,0,0,1,1
2022-08-10 00:00:00+00:00,1,1,0,0
2022-08-13 00:00:00+00:00,2,1,0,0
2022-09-01 00:00:00+00:00,1,1,0,0
2022-09-06 00:00:00+00:00,0,0,1,1
2022-09-09 00:00:00+00:00,0,0,1,1
2022-09-17 00:00:00+00:00,0,0,1,1
