time_iso8601,stars_cumulative
2020-08-25 00:00:00+00:00,1
2020-08-31 00:00:00+00:00,2
2020-09-16 00:00:00+00:00,3
2020-09-17 00:00:00+00:00,4
2020-09-21 00:00:00+00:00,5
2020-09-23 00:00:00+00:00,6
2020-09-24 00:00:00+00:00,9
2020-10-06 00:00:00+00:00,10
2020-11-20 00:00:00+00:00,11
2020-12-15 00:00:00+00:00,12
2021-01-09 00:00:00+00:00,13
2021-01-26 00:00:00+00:00,14
2021-01-29 00:00:00+00:00,15
2021-02-22 00:00:00+00:00,16
2021-05-10 00:00:00+00:00,17
2021-07-26 00:00:00+00:00,18
2021-08-28 00:00:00+00:00,19
2021-12-10 00:00:00+00:00,20
2022-01-03 00:00:00+00:00,21
2022-03-09 00:00:00+00:00,22
2022-05-11 00:00:00+00:00,23
2022-06-07 00:00:00+00:00,24
2022-06-20 00:00:00+00:00,25
