time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-01 00:00:00+00:00,0,0,2,2
2021-06-02 00:00:00+00:00,1,1,8,5
2021-06-03 00:00:00+00:00,1,1,11,7
2021-06-04 00:00:00+00:00,0,0,4,3
2021-06-05 00:00:00+00:00,0,0,1,1
2021-06-07 00:00:00+00:00,1,1,13,3
2021-06-08 00:00:00+00:00,0,0,1,1
2021-06-09 00:00:00+00:00,0,0,12,4
2021-06-10 00:00:00+00:00,0,0,2,2
2021-06-14 00:00:00+00:00,0,0,12,3
2021-06-16 00:00:00+00:00,0,0,2,2
2021-06-17 00:00:00+00:00,0,0,24,6
2021-06-18 00:00:00+00:00,0,0,32,5
2021-06-19 00:00:00+00:00,0,0,1,1
2021-06-21 00:00:00+00:00,0,0,13,3
2021-06-22 00:00:00+00:00,0,0,6,4
2021-06-23 00:00:00+00:00,0,0,4,2
2021-06-25 00:00:00+00:00,0,0,4,2
2021-06-26 00:00:00+00:00,0,0,2,1
2021-06-27 00:00:00+00:00,1,1,1,1
2021-06-28 00:00:00+00:00,0,0,14,3
2021-06-30 00:00:00+00:00,1,1,2,2
2021-07-01 00:00:00+00:00,0,0,3,2
