url_path,views_total,views_unique
/thomasborgen/storage-bucket/pull/46,18,2
/thomasborgen/storage-bucket/pull/46/checks,15,2
/thomasborgen/storage-bucket/pulls,12,1
/thomasborgen/storage-bucket,7,2
/thomasborgen/storage-bucket/actions,4,1
/thomasborgen/storage-bucket/pull/46/files,3,2
/thomasborgen/storage-bucket/actions/runs/1355576819,2,1
/thomasborgen/storage-bucket/actions/runs/1355680178,2,1
/thomasborgen/storage-bucket/actions/runs/1355693724,2,1
/thomasborgen/storage-bucket/actions/workflows/test.yml,2,1
