time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-04 00:00:00+00:00,0,0,5,1
2021-06-07 00:00:00+00:00,0,0,2,1
2021-06-08 00:00:00+00:00,0,0,1,1
2021-06-13 00:00:00+00:00,0,0,1,1
2021-06-14 00:00:00+00:00,0,0,8,1
2021-07-07 00:00:00+00:00,0,0,2,2
2021-07-24 00:00:00+00:00,1,1,0,0
2021-07-30 00:00:00+00:00,0,0,1,1
2021-08-03 00:00:00+00:00,0,0,4,1
2021-08-16 00:00:00+00:00,0,0,1,1
2021-08-19 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-08-25 00:00:00+00:00,1,1,0,0
2021-08-26 00:00:00+00:00,0,0,3,1
2021-08-27 00:00:00+00:00,1,1,0,0
2021-09-03 00:00:00+00:00,1,1,0,0
2021-09-08 00:00:00+00:00,1,1,0,0
2021-09-11 00:00:00+00:00,0,0,1,1
2021-09-26 00:00:00+00:00,0,0,4,1
2021-09-29 00:00:00+00:00,2,2,0,0
2021-10-08 00:00:00+00:00,1,1,0,0
2021-10-10 00:00:00+00:00,1,1,0,0
2021-10-11 00:00:00+00:00,0,0,10,2
2021-10-12 00:00:00+00:00,1,1,0,0
2021-10-15 00:00:00+00:00,1,1,1,1
2021-10-18 00:00:00+00:00,51,6,74,2
2021-10-19 00:00:00+00:00,0,0,6,1
2021-10-21 00:00:00+00:00,3,1,9,1
2021-10-22 00:00:00+00:00,0,0,3,1
2021-10-23 00:00:00+00:00,0,0,3,1
2021-10-27 00:00:00+00:00,0,0,6,1
2021-11-02 00:00:00+00:00,0,0,5,2
2021-11-03 00:00:00+00:00,1,1,27,1
2021-11-04 00:00:00+00:00,0,0,3,1
2021-11-05 00:00:00+00:00,0,0,1,1
2021-11-12 00:00:00+00:00,0,0,1,1
2021-11-14 00:00:00+00:00,0,0,1,1
2021-11-21 00:00:00+00:00,1,1,0,0
2021-11-23 00:00:00+00:00,0,0,1,1
2021-11-25 00:00:00+00:00,2,1,2,1
2021-11-27 00:00:00+00:00,1,1,0,0
2021-11-28 00:00:00+00:00,1,1,0,0
2021-11-30 00:00:00+00:00,1,1,0,0
2021-12-09 00:00:00+00:00,1,1,0,0
2021-12-10 00:00:00+00:00,1,1,2,1
